year,economy,economycode,regionwb,female,age,educ,inc_q,urbanicity,account,merchantpay_dig,pay_utilities,anydigpayment,internet_use,con1
2024,Albania,ALB,Europe & Central Asia (excluding high income),1,69,2,2.0,1.0,0,0.0,2,0.0,1,1.0
2024,Colombia,COL,Latin America & Caribbean (excluding high income),0,73,1,3.0,1.0,1,0.0,1,1.0,0,1.0
2024,Viet Nam,VNM,East Asia & Pacific (excluding high income),0,36,2,5.0,1.0,1,0.0,4,1.0,1,1.0
2024,Croatia,HRV,High income,0,58,2,5.0,0.0,1,1.0,1,1.0,1,1.0
2024,North Macedonia,MKD,Europe & Central Asia (excluding high income),0,71,2,3.0,0.0,1,0.0,1,1.0,0,1.0
2024,India,IND,South Asia,0,23,2,5.0,1.0,1,1.0,1,1.0,1,1.0
2024,Honduras,HND,Latin America & Caribbean (excluding high income),1,67,1,2.0,0.0,0,0.0,4,0.0,1,1.0
2024,Tunisia,TUN,Middle East & North Africa (excluding high income),1,72,1,5.0,1.0,1,0.0,4,0.0,0,1.0
2024,North Macedonia,MKD,Europe & Central Asia (excluding high income),0,73,1,2.0,0.0,1,1.0,3,0.0,0,0.0
2024,Iraq,IRQ,Middle East & North Africa (excluding high income),1,33,2,1.0,0.0,0,0.0,4,0.0,1,1.0
2024,Mongolia,MNG,East Asia & Pacific (excluding high income),1,32,3,2.0,1.0,1,1.0,4,1.0,1,1.0
2024,Malaysia,MYS,East Asia & Pacific (excluding high income),1,55,2,5.0,1.0,1,0.0,2,1.0,1,1.0
2024,Kyrgyz Republic,KGZ,Europe & Central Asia (excluding high income),1,33,2,1.0,0.0,0,0.0,1,0.0,1,1.0
2024,Poland,POL,High income,1,77,1,2.0,0.0,0,0.0,4,0.0,0,0.0
2024,"Congo, Dem. Rep.",COD,Sub-Saharan Africa (excluding high income),0,28,3,5.0,1.0,1,1.0,4,1.0,1,1.0
2024,Bangladesh,BGD,South Asia,0,35,1,2.0,0.0,0,0.0,4,0.0,0,1.0
2024,Colombia,COL,Latin America & Caribbean (excluding high income),1,37,1,2.0,0.0,1,0.0,4,1.0,0,1.0
2024,Moldova,MDA,Europe & Central Asia (excluding high income),1,69,2,2.0,0.0,1,0.0,2,1.0,1,1.0
2024,Mexico,MEX,Latin America & Caribbean (excluding high income),0,70,1,2.0,1.0,0,0.0,4,0.0,0,0.0
2024,Jordan,JOR,Middle East & North Africa (excluding high income),1,35,2,3.0,1.0,0,0.0,4,0.0,1,1.0
2024,Togo,TGO,Sub-Saharan Africa (excluding high income),0,72,2,4.0,0.0,1,0.0,4,1.0,1,1.0
2024,Peru,PER,Latin America & Caribbean (excluding high income),1,28,2,3.0,1.0,0,0.0,4,0.0,1,1.0
2024,India,IND,South Asia,0,34,1,5.0,1.0,1,0.0,4,0.0,0,1.0
2024,Ecuador,ECU,Latin America & Caribbean (excluding high income),1,55,2,1.0,1.0,1,0.0,2,0.0,1,1.0
2024,Mali,MLI,Sub-Saharan Africa (excluding high income),0,48,1,1.0,0.0,1,0.0,4,1.0,0,1.0
2024,Kazakhstan,KAZ,Europe & Central Asia (excluding high income),0,35,3,2.0,1.0,1,1.0,1,1.0,1,1.0
2024,West Bank and Gaza,PSE,Middle East & North Africa (excluding high income),1,48,1,5.0,0.0,0,0.0,4,0.0,1,1.0
2024,Madagascar,MDG,Sub-Saharan Africa (excluding high income),1,34,1,4.0,0.0,0,0.0,4,0.0,0,1.0
2024,Tunisia,TUN,Middle East & North Africa (excluding high income),0,55,2,5.0,1.0,0,0.0,2,0.0,1,1.0
2024,Togo,TGO,Sub-Saharan Africa (excluding high income),0,19,2,2.0,1.0,1,1.0,4,1.0,1,1.0
2024,Tanzania,TZA,Sub-Saharan Africa (excluding high income),0,28,3,5.0,0.0,1,0.0,1,1.0,1,1.0
2024,Costa Rica,CRI,Latin America & Caribbean (excluding high income),0,30,3,5.0,1.0,1,1.0,1,1.0,1,1.0
2024,Indonesia,IDN,East Asia & Pacific (excluding high income),1,25,3,5.0,1.0,1,1.0,1,1.0,1,1.0
2024,Guinea,GIN,Sub-Saharan Africa (excluding high income),0,18,2,2.0,0.0,1,0.0,4,0.0,1,1.0
2024,Dominican Republic,DOM,Latin America & Caribbean (excluding high income),1,31,1,2.0,1.0,1,0.0,4,1.0,1,0.0
2024,Dominican Republic,DOM,Latin America & Caribbean (excluding high income),0,22,1,5.0,1.0,0,0.0,4,0.0,1,1.0
2024,Bangladesh,BGD,South Asia,1,25,2,5.0,1.0,0,0.0,4,0.0,1,1.0
2024,Malawi,MWI,Sub-Saharan Africa (excluding high income),1,44,1,2.0,0.0,1,0.0,4,0.0,1,0.0
2024,Cambodia,KHM,East Asia & Pacific (excluding high income),1,65,1,1.0,0.0,0,0.0,2,0.0,0,0.0
2024,North Macedonia,MKD,Europe & Central Asia (excluding high income),0,76,2,5.0,0.0,1,0.0,2,0.0,0,1.0
2024,Indonesia,IDN,East Asia & Pacific (excluding high income),0,19,2,5.0,1.0,1,1.0,2,1.0,1,1.0
2024,Ethiopia,ETH,Sub-Saharan Africa (excluding high income),0,40,1,2.0,0.0,0,0.0,4,0.0,0,0.0
2024,Mongolia,MNG,East Asia & Pacific (excluding high income),1,27,1,1.0,0.0,1,1.0,4,1.0,1,1.0
