id,churn,treatment,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
1,0,1,-.48404083,1.0795116,-.14376183,1.2027777,.16196068,-.5258652,-.45431989,.27511659,-.37348771,-1.0961984,-.42219356,-.60431218,-.3338716,0,0,0,0,0
2,1,1,2.0895293,.26793611,-.49861893,-.0033667663,-.64327258,-1.2243171,-.15023594,-.4704268,.9700675,-1.1755098,.011720145,.057975858,-.029948641,0,0,0,0,0
3,0,0,-.25503096,.37242681,-.7476511,-.17741892,-.70815921,-1.0620186,-.050844628,-.57447422,-.41812941,.097153515,-.024575546,.019438745,-.14461668,0,0,0,0,0
4,1,0,-.11927206,.062751725,-.30710131,-.18812752,-.5372023,-1.3438754,-.050513439,-.32071319,-.29828191,-1.4140172,-1.0888048,.40458232,-.15512952,0,0,0,1,0
5,0,1,.31866962,.42833692,-.17323004,-.25527903,-.49039409,-.15886481,-.50574434,-.32543871,-.20458056,.25074068,-.048986491,-.16230327,-.49596989,0,0,0,0,0
6,0,0,-.41056386,-.22582684,-.4442628,-.068753816,-.026365194,-.12542462,.59203386,-.41671777,-.40754259,-.13321012,.40739581,.88439506,-.46138972,0,1,0,0,0
7,1,1,-.44280562,-1.7482316,.33482537,-.19860943,-.2818597,1.8815904,-.58814472,-.19820203,-.43850124,-.76703525,-.46458218,1.8552225,.01784214,0,0,0,0,0
8,1,0,.36093959,-1.3240588,2.0272012,-.013439799,10.595005,.26697057,-.62488467,-.21442275,-.19662187,-.097974144,.27951968,3.0028305,-.28863361,0,0,0,0,0
9,1,1,-.17396578,-1.2012713,-.48649481,-.29291305,-1.0555369,1.772741,-.097945057,.016447548,-.22259003,-.10467428,-1.4627452,1.0708266,-.081274241,0,0,0,0,0
10,0,1,-.39527485,.61900699,-.61962724,-.25227106,-.28009424,-.71510649,-.089426838,-.55174416,-.37768424,.019479031,-.7363376,.058943518,-.61480719,0,0,0,0,0
11,0,0,-.27464145,.75057328,-.31597471,-.012315554,-.76362658,-.90125102,-.54858541,-.022091491,-.1688582,-1.3350315,-.80975312,-.055544604,-.030675607,0,0,0,0,0
12,1,0,-.085433692,-.62432522,-.7613008,-.1617303,-.1961166,-.075658791,-.37953937,-.32073757,-.27318531,-.77124095,.82014018,1.4372491,-.04250953,0,0,0,0,0
13,1,0,-.54991084,-.028272696,.30156767,-.27836153,.13246015,-1.0734808,1.0248772,-.54179758,-.16423839,.3340241,-.074642666,-.3989723,-.25419191,0,0,0,0,0
14,0,0,-.44321978,.51543206,-.70777225,-.20896633,-.16668625,-.1022835,-.59853834,-.30618984,-.38832098,-.93208432,-.43550408,.18136849,-.5883792,0,0,1,0,0
15,1,1,-.29981855,-1.8382901,4.4217443,-.2663044,.16902852,2.2995682,-.64128834,.016014094,-.18181688,2.4426787,.12834805,-.082267649,-.23968431,0,0,0,0,0
16,0,1,-.30706784,1.9506965,-.29377541,.020392947,-.45816848,-.64177281,.026517488,-.18249936,-.39898583,-.40922204,-.54054868,-.060691912,-.22031032,1,0,0,0,0
17,0,1,-.35232073,.053929325,-.52118921,.00300774,-.95255983,-.30185083,.025869936,-.21910182,-.13791528,-.87138063,.050118741,.3303045,4.3621988,0,0,0,0,0
18,0,0,-.032581057,1.095548,-.29363802,.42522773,1.3981932,-.37935588,-.6862278,-.10133652,-.066229627,-.47740814,-1.3422477,2.5996084,-.44647419,1,0,0,0,0
